fit_rank,orgnr,company_name,official_website_url,gpt_about_source_url,is_fit_for_nivo,fit_confidence,stage1_total_score,blended_score,business_type,operating_model,reason_summary,niche_indicator,differentiation_indicator,repeat_purchase_indicator,scalable_business_indicator,red_flags,evidence,gpt_about_confidence,is_construction_or_installation,is_generic_distributor,is_hospitality_or_property_company,is_service_heavy,is_subsidiary_or_group_company
15,556629-8203,Traryds Metall AB,https://www.trarydsmetall.se,https://www.trarydsmetall.se,True,0.8,76.4164,78.5666,product_company,manufacturer,"Traryds Metall AB is a manufacturer of precision components in brass and other metals, offering products like valves and couplings. Their focus on high quality and customization indicates a strong product-led business model.",medium,high,medium,medium,,Manufacturer of precision components in brass and other metals|Products include valves and couplings|Focus on high quality and customer-specific needs,0.9,False,False,False,False,False
16,556108-9284,Hammarplast Medical Aktiebolag,https://hpm.se,https://hpm.se,True,0.8,76.4042,78.5617,product_company,manufacturer,"Hammarplast Medical is a leading manufacturer of medical technology products and packaging solutions, focusing on quality and innovation for healthcare needs. Their product range includes disposable items, indicating a strong repeat purchase model.",high,high,high,medium,,"Leading manufacturer of medical technology products|Offers disposable items and special packaging|Focus on quality, safety, and innovation",0.9,False,False,False,False,False
17,556527-9279,Olsbergs Electronics AB,https://www.olsbergs.com,https://www.olsbergs.com,True,0.8,76.2895,78.5158,product_company,manufacturer,"Olsbergs Electronics AB manufactures electronic control systems for mobile hydraulics, focusing on innovation and user-friendliness. Their specialized products indicate a strong niche and potential for repeat business.",medium,high,medium,medium,,Manufacturer of electronic control systems for mobile hydraulics|Products include remote controls and control systems for cranes|Focus on innovation and user-friendliness,0.9,False,False,False,False,False
18,556509-0148,Swedish Oat Fiber Aktiebolag,https://www.swedishoatfiber.se,https://www.swedishoatfiber.se,True,0.8,76.2238,78.4895,product_company,manufacturer,"Swedish Oat Fiber is a leading supplier of unique oat products, indicating a strong product-led business model with high differentiation and repeat purchase potential across various industries.",high,high,high,medium,,"Global leading supplier of unique oat products|Offers oat beta-glucans, flour, and oil|Products used in food, cosmetics, and animal feed",0.9,False,False,False,False,False
19,556035-5926,Aktiebolaget Cernelle.,https://cernelle.eu,https://cernelle.eu,True,0.8,75.9971,78.3988,product_company,manufacturer,"Cernelle specializes in medical pollen extracts, indicating a strong product-led focus with high differentiation and repeat purchase potential due to pharmaceutical applications.",high,high,medium,medium,,Leader in extracting pollen for medical use|Products include Cernilton® and Cernitol®,0.9,False,False,False,False,False
20,556193-7086,"KAMI, Kalix Mekaniska Industrier Aktiebolag",https://kami.se,https://kami.se,True,0.8,75.8583,78.3433,product_company,manufacturer,"KAMI manufactures specialized profiled sheet metal roofs, indicating a strong product focus with high differentiation and potential for repeat purchases in construction.",high,high,medium,medium,,Manufactures high-quality profiled sheet metal roofs|Offers up to 30 years warranty on products,0.9,False,False,False,False,False
21,556488-5720,Actil Warehouse Trucks AB,https://actil.se,https://actil.se/en/,True,0.8,75.7227,78.2891,product_company,manufacturer,"Actil Warehouse Trucks manufactures warehouse equipment, indicating a strong product focus with high differentiation and potential for repeat purchases in logistics.",medium,high,medium,high,,Supplies warehouse trucks across Europe|Product range includes stackers and low lifters,0.9,False,False,False,False,False
22,556622-6444,MARIA ÅKERBERG AB,https://mariaakerberg.com,https://mariaakerberg.com,True,0.8,75.4508,78.1803,product_company,brand_owner,"MARIA ÅKERBERG AB offers a range of natural skincare products, emphasizing natural ingredients and repeat purchases. Their diverse product line includes cosmetics and health supplements, indicating a strong brand presence.",high,high,high,medium,,"Offers natural skincare products|Includes makeup, sun protection, and health supplements",0.8,False,False,False,False,False
23,556816-5426,Bluebeam AB,https://www.bluebeam.com/,https://www.bluebeam.com/,True,0.8,71.7475,76.699,product_company,software,"Bluebeam offers software solutions for the construction industry, indicating a strong product-led business model with high differentiation and scalability.",high,high,high,high,,Offers collaboration software for the construction industry|Products like Bluebeam Revu,0.8,False,False,False,False,False
24,556767-5672,BGFIX AB,https://www.bgfix.se/,https://www.bgfix.se/,True,0.8,71.5072,76.6029,product_company,manufacturer,"BGFIX AB is a leading supplier of area protection and fencing solutions in Scandinavia, offering a wide range of high-quality products. Their focus on quality and safety enhances their market position.",medium,high,medium,medium,,Leading supplier of area protection and fencing solutions|Offers a wide range of products including building fences and mobile gates|Emphasizes high quality and safety in products,0.9,False,False,False,False,False
25,556353-7512,Hagaberg Industrier AB,https://www.hagaberg.com,https://www.hagaberg.com,True,0.8,71.1211,76.4485,product_company,manufacturer,"Hagaberg Industrier AB is a world-leading manufacturer of fork spreaders and related systems, emphasizing unique design and functionality, which aligns well with Nivo's investment focus.",high,high,medium,medium,,World-leading manufacturer of fork spreaders|Unique design and functionality|Focus on innovation and safety in material handling,1.0,False,False,False,False,True
26,556726-9278,Biotech Fluidics AB,https://www.biotechfluidics.com,https://www.biotechfluidics.com,True,0.8,70.9474,76.379,product_company,manufacturer,"Biotech Fluidics AB specializes in high-precision liquid management products for various applications, indicating a strong product focus and differentiation. Their expertise in multiple fields supports a scalable business model.",high,high,medium,high,,Products in liquid degassing and flow components|Supports applications in liquid chromatography and diagnostics,1.0,False,False,False,False,False
27,556854-5106,pour-tech AB,https://pour-tech.com,https://pour-tech.com,True,0.8,70.3665,76.1466,product_company,manufacturer,"pour-tech AB specializes in automated casting systems for iron foundries, offering customized solutions that integrate technology and engineering. Their products indicate a strong differentiation and a high level of automation.",high,high,medium,high,,Specializes in automated casting systems for iron foundries|Offers customized solutions with technology and engineering integration,0.9,False,False,False,False,False
28,556773-4784,Neoventa Medical AB,https://www.neoventa.com,https://www.neoventa.com,True,0.8,69.9864,75.9946,product_company,manufacturer,"Neoventa Medical AB provides complete fetal monitoring systems and training, indicating a specialized product offering in the medical field with a focus on improving outcomes.",high,high,medium,medium,,Offers complete fetal monitoring systems|Supports clinical staff worldwide for improved outcomes,0.9,False,False,False,False,False
29,556657-5535,Rehobot Hydraulics AB,https://rehobot.eu,https://rehobot.eu,True,0.75,83.2442,78.2977,product_company,manufacturer,"Rehobot Hydraulics AB develops and manufactures hydraulic products, showcasing strong innovation and a focus on high-quality manufacturing. Their market leadership in hydraulics indicates a solid product-led business model.",high,high,high,high,,Develops and manufactures hydraulic products|Market leader in hydraulics|Focus on technical innovations,1.0,False,False,False,False,False
30,556457-7475,Sordin Vikmanshyttan AB,https://sordin.com,https://sordin.com,True,0.75,78.8995,76.5598,product_company,manufacturer,"Sordin Vikmanshyttan AB manufactures hearing protection products, indicating a strong product focus with potential for repeat purchases and differentiation.",medium,high,medium,high,,"Manufacturer of hearing protection since 1988|Focus on durability, comfort, and performance",0.9,False,False,False,False,False
31,556780-7358,Watt Heating AB,https://watt.se,https://watt.se,True,0.75,77.0984,75.8393,product_company,manufacturer,"Watt Heating AB has a strong product offering with a focus on sustainability and a large inventory, indicating a differentiated and scalable business model.",high,high,medium,medium,,"Largest stock of radiators in Sweden|Products: ONE RECO thermostat, various heating solutions",0.9,False,False,False,False,False
32,559155-1154,TIQQE AB,https://tiqqe.com,https://tiqqe.com,True,0.75,76.4577,75.5831,product_company,software,"TIQQE specializes in cloud-based solutions, indicating a strong product focus with potential for scalability and repeat business.",high,high,high,high,,About: specializes in cloud-based solutions|About: helps organizations design and build applications in the cloud,0.9,False,False,False,False,False
33,556204-5236,Auson Aktiebolag,https://www.auson.se,https://www.auson.se,True,0.75,75.3958,75.1583,product_company,manufacturer,"Auson Aktiebolag manufactures and sells protective and maintenance products, including wood tar and thermal insulation. Their long history and product range suggest a solid market position.",medium,medium,medium,medium,,Manufactures protective and maintenance products|One of the largest suppliers of wood tar in Sweden,0.9,False,False,False,False,False
34,556917-8386,Better You AB,https://www.betteryou.se,https://www.betteryou.se,True,0.75,70.1096,73.0438,product_company,brand_owner,"Better You AB offers high-quality natural dietary supplements, focusing on health and wellness. Their product offerings suggest a repeat purchase model and a commitment to quality.",medium,medium,high,medium,,Offers natural dietary supplements|Focus on high-quality ingredients for health and wellness,0.9,False,False,False,False,False
35,556283-0124,Range Servant AB,https://www.rangeservant.com,https://www.rangeservant.com,True,0.75,69.8932,72.9573,product_company,manufacturer,"Range Servant AB specializes in high-quality equipment for golf driving ranges, indicating a strong niche with tailored solutions and potential for repeat business.",high,high,medium,high,,Global leader in equipment for driving ranges|Specializes in premium equipment for golf clubs,0.9,False,False,False,False,False
36,556437-9427,Nordic door Aktiebolag,http://www.nordicdoor.no,http://www.nordicdoor.no,True,0.7,87.2306,76.8922,product_company,manufacturer,"Nordic Door is a large door manufacturer, indicating a strong product focus with potential for repeat purchases through retail channels.",medium,medium,medium,medium,,"Homepage: largest door manufacturer in Norway|About: production of 100,000 doors annually",0.9,False,False,False,False,False
37,556477-8164,VEIDEC AB,https://www.veidec.com/se/,https://veidec.com/no/contact/,True,0.7,85.7945,76.3178,product_company,manufacturer,"VEIDEC AB provides high-tech products for repair and maintenance, indicating a strong product focus with potential for repeat purchases.",medium,high,high,medium,,Homepage: high-tech products for repair and maintenance|About: focus on simplicity and environmental engagement,0.9,False,False,False,False,False
38,556464-4861,Swebolt Järfälla Aktiebolag,https://www.swebolt.se/,https://www.swebolt.se/,True,0.7,85.4086,76.1634,product_company,manufacturer,"Swebolt Järfälla Aktiebolag offers a unique range of fasteners and tools, indicating a strong product focus. Their long-standing presence in the industry and service offerings suggest a reliable partner for various clients, enhancing their repeat purchase potential.",medium,medium,high,medium,,About: unique range of fasteners and tools|Experience: 35 years in the industry,0.9,False,False,False,True,False
39,556444-9824,Flux AB,https://www.flux.nu/,https://www.flux.nu/,True,0.7,85.2412,76.0965,product_company,manufacturer,"Flux AB specializes in innovative lighting solutions, indicating a strong product focus with potential for repeat purchases in public environments. Their own production capabilities and partnerships enhance their scalability and differentiation.",medium,high,medium,high,,About: innovative and sustainable lighting solutions|Production: own manufacturing in Arninge,0.9,False,False,False,False,False
40,556824-7588,Unimer Plast & Gummi AB,https://www.unimer.se,https://www.unimer.se,True,0.7,84.0249,75.61,product_company,manufacturer,"Unimer Plast & Gummi AB is a manufacturer of specific components for leading industrial companies, indicating a strong product focus and potential for repeat purchases, aligning well with Nivo's criteria.",high,high,high,high,,About: OEM partner with expertise in plastic and rubber|Develops and manufactures specific components,1.0,False,False,False,False,False
41,556864-3141,Bookmark Förlag AB,https://www.bookmarkforlag.se,https://www.bookmarkforlag.se,True,0.7,83.1193,75.2477,product_company,unknown,"Bookmark Förlag AB is a book publisher with a diverse portfolio, collaborating with various authors. Their focus on high-quality literature indicates a differentiated product offering with potential for repeat purchases.",medium,high,medium,high,,Publishes a wide range of literature|Collaborates with both Swedish and international authors|Strives for high-quality books,1.0,False,False,False,False,False
42,556550-4866,Presona Aktiebolag,https://www.presona.se,https://www.presona.se,True,0.7,82.427,74.9708,product_company,manufacturer,"Presona manufactures high-quality balers and compactors for the recycling industry, indicating a strong product focus with potential for repeat purchases.",medium,medium,high,medium,,About: develops and builds balers|About: high-quality products for recycling,0.9,False,False,False,False,False
43,556270-3024,Ricana Concept AB,https://www.ricana.se,https://www.ricana.se/sv/,True,0.7,82.1692,74.8677,product_company,manufacturer,"Ricana Concept designs and manufactures retail concepts and shop fittings, indicating a strong product focus with potential for repeat purchases and scalability.",medium,high,medium,high,,About: creates retail concepts|About: production of shop fittings,0.9,False,False,False,False,False
44,556271-2082,Ellagro Örebro AB,https://ellagro.com,https://ellagro.com/sv/om-oss/,True,0.7,81.2827,74.5131,product_company,manufacturer,"Ellagro operates as a production partner for technology companies, indicating a strong product-led model with high potential for repeat purchases and scalability.",medium,high,high,high,,Production partner for technology companies|Long-term relationships and technical expertise,1.0,False,False,False,False,False
45,556100-1701,Mouldex Plast AB,https://www.mouldex.se,https://mouldex.se/om-mouldex/,True,0.7,81.0593,74.4237,product_company,manufacturer,"Mouldex specializes in injection-molded plastics, indicating a strong product-led model with high potential for repeat purchases and scalability.",medium,high,high,high,,Leading player in injection-molded plastics|Focus on sustainability and flexibility in production,1.0,False,False,False,False,False
46,556540-8514,Europress AB,https://www.europress.se,https://europressgroup.com/sv/,True,0.7,80.2594,74.1038,product_company,manufacturer,"Europress AB manufactures innovative balers and compactors for waste management, emphasizing sustainability and circular economy. Their focus on product development and repeat purchases aligns well with Nivo's criteria.",medium,high,high,medium,,About: innovative balers and compactors|Focus: circular economy and waste management,0.9,False,False,False,False,False
47,556443-5120,Converflex Aktiebolag,https://www.converflex.se,https://converflex.se/om-oss/,True,0.7,79.9341,73.9736,product_company,manufacturer,"Converflex Aktiebolag specializes in flexographically printed packaging, particularly for the food industry. Their established manufacturing capabilities and focus on customer-specific solutions indicate a strong product-led business model.",medium,high,medium,medium,,"About: leading in flexographically printed packaging|Production capacity: 7,000 tons per year",0.9,False,False,False,False,False
48,556265-5430,Carmenta Geospatial Technologies AB,https://carmenta.com,https://carmenta.com,True,0.7,79.3466,73.7387,product_company,software,Carmenta Geospatial Technologies AB specializes in geospatial technology and software development for real-time visualization and analysis. Their strong product focus and scalable business model align well with Nivo's investment strategy.,high,high,medium,high,,About: geospatial technology for real-time visualization|Offers SDK for geospatial applications,0.9,False,False,False,False,False
49,556531-3623,EH Connector AB,https://ehconnector.se,https://ehconnector.se,True,0.7,78.932,73.5728,product_company,manufacturer,"EH Connector AB is a manufacturer of electrical connections and custom cabling, indicating a strong product focus and potential for repeat purchases.",medium,medium,medium,high,,Provider of electrical connections for motor vehicles|Offers flexible and quality solutions from development to manufacturing,0.9,False,False,False,False,False
50,559183-1085,MORA CNC AB,https://www.nordiqongroup.com,https://www.nordiqongroup.com,True,0.7,78.1722,73.2689,product_company,manufacturer,"MORA CNC AB focuses on advanced CNC machining and contract manufacturing, indicating a strong product offering and potential for repeat business.",high,high,medium,high,,About: advanced CNC-bearbetning and mekanisk legotillverkning|Offers precision manufacturing solutions,0.9,False,False,False,False,False
51,556468-7597,AB Sundplast,https://sundplast.se,https://sundplast.se,True,0.7,77.2986,72.9194,product_company,manufacturer,"AB Sundplast specializes in injection-molded plastics, offering specific products and services, indicating a solid product focus and potential for repeat purchases.",medium,medium,medium,medium,,"Expertise: injection-molded plastics|Products: Safecap, Safebox",0.9,False,False,False,False,False
52,556082-8773,Fredrik Mogensen Aktiebolag,https://www.mogensen.se/,https://www.mogensen.se/,True,0.7,77.0909,72.8364,product_company,manufacturer,"Fredrik Mogensen AB designs and manufactures screening equipment, indicating a strong product focus and potential for repeat business in various industries.",high,high,medium,medium,,Products: screening equipment|Experience: over 400 material types,0.9,False,False,False,False,False
53,556389-8609,Seriline Aktiebolag,https://www.seriline.com,https://www.seriline.com/se,True,0.7,76.6185,72.6474,product_company,manufacturer,"Seriline provides secure identity and access solutions, indicating a product-oriented business with potential for repeat purchases.",medium,medium,medium,medium,,About: leading supplier of identity and access solutions|About: products like visit terminals and card readers,0.9,False,False,False,False,False
54,556630-2245,Ambulansproduktion i Sandviken AB,https://www.ambulansproduktion.se,https://www.ambulansproduktion.se,True,0.7,75.7389,72.2955,product_company,manufacturer,"The company specializes in manufacturing ambulances, indicating a product-led approach with a focus on safety and ergonomics, which could lead to repeat purchases from healthcare providers.",medium,medium,medium,medium,,Specializes in producing ambulances|Focus on safety and working environment,0.9,False,False,False,False,False
55,556435-6789,Water and Laser Technology i Vansbro Aktiebolag,https://www.waltech.se,https://www.waltech.se,True,0.7,75.586,72.2344,product_company,manufacturer,"Waltech provides high-quality industrial solutions, indicating a strong product focus with high differentiation and potential for repeat purchases across various industries.",medium,high,medium,high,,Offers processed solutions for industry|Services include water cutting and welding,0.9,False,False,False,False,False
56,556613-1628,Jirotex Furudahlsgruppen AB,https://www.jirotex.se,https://www.jirotex.se,True,0.7,75.2529,72.1011,product_company,manufacturer,"Jirotex specializes in technical textiles and industrial lamination, indicating a strong product focus with potential for repeat business across various industries.",high,high,medium,medium,,Specializes in technical textiles|Offers long-term production solutions,0.9,False,False,False,False,False
57,556337-6143,EVI Industries Vaggeryd AB,https://www.eviindustries.se,https://www.eviindustries.se,True,0.7,75.0838,72.0335,product_company,manufacturer,"EVI Industries manufactures complex products from sheet metal and offers modern, environmentally friendly solutions. They have a strong focus on manufacturing and innovation, indicating a product-led business model.",medium,medium,medium,medium,,"Complete supplier of simple and complex products made of sheet metal|Offers manufacturing in modern, eco-friendly machines|Can develop, manufacture, and test complex products for customers",0.9,False,False,False,False,True
58,556252-8652,Medela Medical Aktiebolag,https://medela.se,https://medela.se,True,0.7,74.6073,71.8429,product_company,manufacturer,"Medela specializes in breastfeeding and breast pump products, indicating a strong product-led model with a focus on health and innovation. Their offerings support repeat purchases and scalability.",high,high,high,high,,Global company specializing in breastfeeding and breast pumping products|Offers a wide range of breast pumps and nursing products,0.9,False,False,False,False,False
59,556058-6744,ABAS Protect AB,https://abas.se,https://abas.se,True,0.7,73.0416,71.2166,product_company,manufacturer,"ABAS Protect AB specializes in high-security area protection solutions, including motorized gates and fencing systems. Their products are tailored for various sectors, indicating a strong product focus and repeat purchase potential.",high,high,medium,medium,,Homepage: motorized gates for security|About: production facility in Sweden|Products: various security solutions for different sectors,0.9,False,False,False,False,False
60,556098-5599,Ingenjörsfirman Geotech Aktiebolag,https://geotech.se,https://geotech.se,True,0.7,71.1889,70.4755,product_company,manufacturer,"Ingenjörsfirman Geotech AB develops and manufactures geotechnical field equipment, indicating a strong product focus and potential for repeat purchases in a specialized market.",medium,medium,medium,medium,,"Develops, manufactures, and delivers geotechnical field equipment|Has been involved in field geotechnics since 1970|Focus on product development",1.0,False,False,False,False,False
61,556085-2922,Annell Ljus och Form Aktiebolag,https://www.annell.se,https://www.annell.se,True,0.7,71.1377,70.4551,product_company,brand_owner,"Annell Ljus och Form Aktiebolag specializes in lighting solutions with a focus on sustainability and design, indicating a strong product offering and potential for repeat purchases.",medium,high,medium,medium,,Offers lighting solutions for indoor and outdoor environments|Focus on sustainability and design|Collaborates with various brands for a wide range of products,0.9,False,False,False,False,False
62,556804-3698,BrightCom Solutions AB,https://www.brightcom.se,https://www.brightcom.se,True,0.7,70.8331,70.3333,product_company,software,"BrightCom Solutions AB focuses on business systems and integrations, indicating a strong product offering with high differentiation and scalability potential.",high,high,medium,high,,Experts in Dynamics Business Central|Offers integration and e-commerce solutions,0.9,False,False,False,False,False
63,556209-9001,INFICON AB,https://www.inficon.com,https://www.inficon.com/en,True,0.7,70.5612,70.2245,product_company,manufacturer,"INFICON AB is a leading provider of innovative instruments for industrial vacuum processes, indicating a strong product focus with high differentiation and scalability.",high,high,medium,high,,About: leading supplier of innovative instruments|About: products used in various high-tech industries,0.9,False,False,False,False,False
64,556353-3230,Vaggeryds Chark AB,https://www.vaggerydschark.se,https://www.vaggerydschark.se,True,0.7,69.873,69.9492,product_company,manufacturer,"Vaggeryds Chark AB manufactures a variety of meat products, indicating a strong product focus with potential for repeat purchases due to consumable nature.",medium,medium,high,medium,,"Manufactures sausages, pâtés, and hams|Uses high-quality Swedish raw materials",0.9,False,False,False,False,False
65,556436-1441,AGES Kulltorp AB,https://www.ages.se,https://www.ages.se,True,0.7,69.7315,69.8926,product_company,manufacturer,"AGES Kulltorp AB is an industrial group specializing in precision manufacturing processes, indicating a strong product-led focus with high-quality standards.",high,high,medium,high,,"Specializes in die casting, machining, and assembly|Focus on high-quality production in medium to large series",0.9,False,False,False,False,False
66,556076-4564,Ackurat Industriplast Aktiebolag,https://www.ackurat.se,https://www.ackurat.se,True,0.7,69.7133,69.8853,product_company,manufacturer,"Ackurat Industriplast AB manufactures unique plastic components, indicating a strong product-led focus with potential for repeat business.",high,high,medium,high,,Manufactures plastic components for furniture and construction|Offers a wide range of unique plastic parts,0.9,False,False,False,False,False
67,556455-1900,Texstar AB,https://www.texstar.se,https://texstar.se/en/,True,0.65,76.6145,69.6458,product_company,manufacturer,"Texstar specializes in work and profile clothing, indicating a product-focused business with potential for repeat purchases.",medium,medium,high,medium,,About: supplier of work and profile clothing|About: wide range of functional and stylish products,0.9,False,False,False,False,False
68,556702-9755,EASY ONLINE STORES AB,https://www.easytryck.se,https://www.easytryck.se,True,0.65,75.254,69.1016,product_company,unknown,"EASY ONLINE STORES AB offers a wide range of printed products and promotional items, indicating a product-led model with potential for repeat purchases and scalability.",medium,medium,medium,high,,Offers a wide range of printed products|Allows customers to customize and order online,0.9,False,False,False,False,False
69,556286-9858,U-nite Fasteners Technology AB,https://www.unitefasteners.com/,https://www.unitefasteners.com/,True,0.65,72.6491,68.0596,product_company,manufacturer,"U-nite Fasteners Technology AB offers a comprehensive range of fastening products, indicating a strong focus on product differentiation and repeat purchases in the construction sector.",high,high,high,medium,,"Homepage: industry-leading range of fasteners|About: focus on sustainable and safe construction|Products: screws, bolts, and accessories",0.9,False,False,False,False,False
70,556926-2438,TreForm Packaging AB,https://treform.se,https://treform.se,True,0.65,72.0776,67.831,product_company,manufacturer,"TreForm Packaging AB specializes in sustainable packaging solutions, indicating a strong product focus with high differentiation and repeat purchase potential in the food and other sectors.",high,high,high,medium,,Homepage: sustainable packaging materials|About: focus on eco-friendly solutions|Products: customizable packaging options,0.9,False,False,False,False,False
71,556709-5152,Elopak AB,https://www.elopak.com,https://www.elopak.com,True,0.65,70.3765,67.1506,product_company,manufacturer,"Elopak AB is a global provider of packaging solutions for liquid food, indicating a strong product focus with high differentiation and scalability.",high,high,medium,high,,About: global supplier of packaging solutions|About: focuses on innovative and sustainable packaging,0.9,False,False,False,False,False
72,556499-9620,Tollco Aktiebolag,https://www.tollco.se,https://www.tollco.se,True,0.65,69.9672,66.9869,product_company,manufacturer,"Tollco Aktiebolag offers innovative products to prevent water damage, indicating a focus on a specific niche with potential for repeat purchases.",medium,medium,high,medium,,Focus on preventing water damage with innovative products|Offers leak protection and water alarms,0.9,False,False,False,False,False
73,556740-5443,Ledson Lights AB,https://www.diodhuset.se,https://www.diodhuset.se,True,0.6,102.1629,76.0,product_company,manufacturer,"Ledson Lights AB offers a wide range of LED products, indicating a product-led business model with potential for repeat purchases. The focus on LED lighting suggests a differentiated niche in the market.",medium,medium,high,medium,,Offers a wide range of LED-lamps and diodes|Fast delivery and 30 days return policy,0.8,False,False,False,False,False
