orgnr,company_name,rank,is_fit_for_nivo,fit_confidence,blended_score,business_type,operating_model,reason_summary,triage_official_url,llm_triage_at
556622-6444,MARIA ÅKERBERG AB,279,true,0.8,78.1803,product_company,brand_owner,"MARIA ÅKERBERG AB offers a range of natural skincare products, emphasizing natural ingredients and repeat purchases. Their diverse product line includes cosmetics and health supplements, indicating a strong brand presence.",https://mariaakerberg.com,2026-03-25 15:36:09.189052+00:00
556816-5426,Bluebeam AB,408,true,0.8,76.699,product_company,software,"Bluebeam offers software solutions for the construction industry, indicating a strong product-led business model with high differentiation and scalability.",https://www.bluebeam.com/,2026-03-25 15:36:09.189052+00:00
556767-5672,BGFIX AB,419,true,0.8,76.6029,product_company,manufacturer,"BGFIX AB is a leading supplier of area protection and fencing solutions in Scandinavia, offering a wide range of high-quality products. Their focus on quality and safety enhances their market position.",https://www.bgfix.se/,2026-03-25 15:36:09.189052+00:00
556353-7512,Hagaberg Industrier AB,431,true,0.8,76.4485,product_company,manufacturer,"Hagaberg Industrier AB is a world-leading manufacturer of fork spreaders and related systems, emphasizing unique design and functionality, which aligns well with Nivo's investment focus.",https://www.hagaberg.com,2026-03-25 15:36:09.189052+00:00
556726-9278,Biotech Fluidics AB,434,true,0.8,76.379,product_company,manufacturer,"Biotech Fluidics AB specializes in high-precision liquid management products for various applications, indicating a strong product focus and differentiation. Their expertise in multiple fields supports a scalable business model.",https://www.biotechfluidics.com,2026-03-25 15:36:09.189052+00:00
556854-5106,pour-tech AB,461,true,0.8,76.1466,product_company,manufacturer,"pour-tech AB specializes in automated casting systems for iron foundries, offering customized solutions that integrate technology and engineering. Their products indicate a strong differentiation and a high level of automation.",https://pour-tech.com,2026-03-25 15:36:09.189052+00:00
556773-4784,Neoventa Medical AB,468,true,0.8,75.9946,product_company,manufacturer,"Neoventa Medical AB provides complete fetal monitoring systems and training, indicating a specialized product offering in the medical field with a focus on improving outcomes.",https://www.neoventa.com,2026-03-25 15:36:09.189052+00:00
556657-5535,Rehobot Hydraulics AB,99,true,0.75,78.2977,product_company,manufacturer,"Rehobot Hydraulics AB develops and manufactures hydraulic products, showcasing strong innovation and a focus on high-quality manufacturing. Their market leadership in hydraulics indicates a solid product-led business model.",https://rehobot.eu,2026-03-25 15:36:09.189052+00:00
556457-7475,Sordin Vikmanshyttan AB,183,true,0.75,76.5598,product_company,manufacturer,"Sordin Vikmanshyttan AB manufactures hearing protection products, indicating a strong product focus with potential for repeat purchases and differentiation.",https://sordin.com,2026-03-25 15:36:09.189052+00:00
556780-7358,Watt Heating AB,227,true,0.75,75.8393,product_company,manufacturer,"Watt Heating AB has a strong product offering with a focus on sustainability and a large inventory, indicating a differentiated and scalable business model.",https://watt.se,2026-03-25 15:36:09.189052+00:00
559155-1154,TIQQE AB,242,true,0.75,75.5831,product_company,software,"TIQQE specializes in cloud-based solutions, indicating a strong product focus with potential for scalability and repeat business.",https://tiqqe.com,2026-03-25 15:36:09.189052+00:00
556204-5236,Auson Aktiebolag,281,true,0.75,75.1583,product_company,manufacturer,"Auson Aktiebolag manufactures and sells protective and maintenance products, including wood tar and thermal insulation. Their long history and product range suggest a solid market position.",https://www.auson.se,2026-03-25 15:36:09.189052+00:00
556917-8386,Better You AB,467,true,0.75,73.0438,product_company,brand_owner,"Better You AB offers high-quality natural dietary supplements, focusing on health and wellness. Their product offerings suggest a repeat purchase model and a commitment to quality.",https://www.betteryou.se,2026-03-25 15:36:09.189052+00:00
556283-0124,Range Servant AB,474,true,0.75,72.9573,product_company,manufacturer,"Range Servant AB specializes in high-quality equipment for golf driving ranges, indicating a strong niche with tailored solutions and potential for repeat business.",https://www.rangeservant.com,2026-03-25 15:36:09.189052+00:00
556437-9427,Nordic door Aktiebolag,41,true,0.7,76.8922,product_company,manufacturer,"Nordic Door is a large door manufacturer, indicating a strong product focus with potential for repeat purchases through retail channels.",http://www.nordicdoor.no,2026-03-25 15:36:09.189052+00:00
556477-8164,VEIDEC AB,52,true,0.7,76.3178,product_company,manufacturer,"VEIDEC AB provides high-tech products for repair and maintenance, indicating a strong product focus with potential for repeat purchases.",https://www.veidec.com/se/,2026-03-25 15:36:09.189052+00:00
556464-4861,Swebolt Järfälla Aktiebolag,61,true,0.7,76.1634,product_company,manufacturer,"Swebolt Järfälla Aktiebolag offers a unique range of fasteners and tools, indicating a strong product focus. Their long-standing presence in the industry and service offerings suggest a reliable partner for various clients, enhancing their repeat purchase potential.",https://www.swebolt.se/,2026-03-25 15:36:09.189052+00:00
556444-9824,Flux AB,63,true,0.7,76.0965,product_company,manufacturer,"Flux AB specializes in innovative lighting solutions, indicating a strong product focus with potential for repeat purchases in public environments. Their own production capabilities and partnerships enhance their scalability and differentiation.",https://www.flux.nu/,2026-03-25 15:36:09.189052+00:00
556824-7588,Unimer Plast & Gummi AB,82,true,0.7,75.61,product_company,manufacturer,"Unimer Plast & Gummi AB is a manufacturer of specific components for leading industrial companies, indicating a strong product focus and potential for repeat purchases, aligning well with Nivo's criteria.",https://www.unimer.se,2026-03-25 15:36:09.189052+00:00
556864-3141,Bookmark Förlag AB,104,true,0.7,75.2477,product_company,unknown,"Bookmark Förlag AB is a book publisher with a diverse portfolio, collaborating with various authors. Their focus on high-quality literature indicates a differentiated product offering with potential for repeat purchases.",https://www.bookmarkforlag.se,2026-03-25 15:36:09.189052+00:00
556550-4866,Presona Aktiebolag,114,true,0.7,74.9708,product_company,manufacturer,"Presona manufactures high-quality balers and compactors for the recycling industry, indicating a strong product focus with potential for repeat purchases.",https://www.presona.se,2026-03-25 15:36:09.189052+00:00
556270-3024,Ricana Concept AB,121,true,0.7,74.8677,product_company,manufacturer,"Ricana Concept designs and manufactures retail concepts and shop fittings, indicating a strong product focus with potential for repeat purchases and scalability.",https://www.ricana.se,2026-03-25 15:36:09.189052+00:00
556271-2082,Ellagro Örebro AB,135,true,0.7,74.5131,product_company,manufacturer,"Ellagro operates as a production partner for technology companies, indicating a strong product-led model with high potential for repeat purchases and scalability.",https://ellagro.com,2026-03-25 15:36:09.189052+00:00
556100-1701,Mouldex Plast AB,139,true,0.7,74.4237,product_company,manufacturer,"Mouldex specializes in injection-molded plastics, indicating a strong product-led model with high potential for repeat purchases and scalability.",https://www.mouldex.se,2026-03-25 15:36:09.189052+00:00
556540-8514,Europress AB,158,true,0.7,74.1038,product_company,manufacturer,"Europress AB manufactures innovative balers and compactors for waste management, emphasizing sustainability and circular economy. Their focus on product development and repeat purchases aligns well with Nivo's criteria.",https://www.europress.se,2026-03-25 15:36:09.189052+00:00
556443-5120,Converflex Aktiebolag,164,true,0.7,73.9736,product_company,manufacturer,"Converflex Aktiebolag specializes in flexographically printed packaging, particularly for the food industry. Their established manufacturing capabilities and focus on customer-specific solutions indicate a strong product-led business model.",https://www.converflex.se,2026-03-25 15:36:09.189052+00:00
556265-5430,Carmenta Geospatial Technologies AB,171,true,0.7,73.7387,product_company,software,Carmenta Geospatial Technologies AB specializes in geospatial technology and software development for real-time visualization and analysis. Their strong product focus and scalable business model align well with Nivo's investment strategy.,https://carmenta.com,2026-03-25 15:36:09.189052+00:00
556531-3623,EH Connector AB,181,true,0.7,73.5728,product_company,manufacturer,"EH Connector AB is a manufacturer of electrical connections and custom cabling, indicating a strong product focus and potential for repeat purchases.",https://ehconnector.se,2026-03-25 15:36:09.189052+00:00
559183-1085,MORA CNC AB,201,true,0.7,73.2689,product_company,manufacturer,"MORA CNC AB focuses on advanced CNC machining and contract manufacturing, indicating a strong product offering and potential for repeat business.",https://www.nordiqongroup.com,2026-03-25 15:36:09.189052+00:00
556468-7597,AB Sundplast,220,true,0.7,72.9194,product_company,manufacturer,"AB Sundplast specializes in injection-molded plastics, offering specific products and services, indicating a solid product focus and potential for repeat purchases.",https://sundplast.se,2026-03-25 15:36:09.189052+00:00
556082-8773,Fredrik Mogensen Aktiebolag,229,true,0.7,72.8364,product_company,manufacturer,"Fredrik Mogensen AB designs and manufactures screening equipment, indicating a strong product focus and potential for repeat business in various industries.",https://www.mogensen.se/,2026-03-25 15:36:09.189052+00:00
556389-8609,Seriline Aktiebolag,237,true,0.7,72.6474,product_company,manufacturer,"Seriline provides secure identity and access solutions, indicating a product-oriented business with potential for repeat purchases.",https://www.seriline.com,2026-03-25 15:36:09.189052+00:00
556630-2245,Ambulansproduktion i Sandviken AB,269,true,0.7,72.2955,product_company,manufacturer,"The company specializes in manufacturing ambulances, indicating a product-led approach with a focus on safety and ergonomics, which could lead to repeat purchases from healthcare providers.",https://www.ambulansproduktion.se,2026-03-25 15:36:09.189052+00:00
556435-6789,Water and Laser Technology i Vansbro Aktiebolag,275,true,0.7,72.2344,product_company,manufacturer,"Waltech provides high-quality industrial solutions, indicating a strong product focus with high differentiation and potential for repeat purchases across various industries.",https://www.waltech.se,2026-03-25 15:36:09.189052+00:00
556613-1628,Jirotex Furudahlsgruppen AB,288,true,0.7,72.1011,product_company,manufacturer,"Jirotex specializes in technical textiles and industrial lamination, indicating a strong product focus with potential for repeat business across various industries.",https://www.jirotex.se,2026-03-25 15:36:09.189052+00:00
556337-6143,EVI Industries Vaggeryd AB,291,true,0.7,72.0335,product_company,manufacturer,"EVI Industries manufactures complex products from sheet metal and offers modern, environmentally friendly solutions. They have a strong focus on manufacturing and innovation, indicating a product-led business model.",https://www.eviindustries.se,2026-03-25 15:36:09.189052+00:00
556252-8652,Medela Medical Aktiebolag,307,true,0.7,71.8429,product_company,manufacturer,"Medela specializes in breastfeeding and breast pump products, indicating a strong product-led model with a focus on health and innovation. Their offerings support repeat purchases and scalability.",https://medela.se,2026-03-25 15:36:09.189052+00:00
556058-6744,ABAS Protect AB,369,true,0.7,71.2166,product_company,manufacturer,"ABAS Protect AB specializes in high-security area protection solutions, including motorized gates and fencing systems. Their products are tailored for various sectors, indicating a strong product focus and repeat purchase potential.",https://abas.se,2026-03-25 15:36:09.189052+00:00
556098-5599,Ingenjörsfirman Geotech Aktiebolag,428,true,0.7,70.4755,product_company,manufacturer,"Ingenjörsfirman Geotech AB develops and manufactures geotechnical field equipment, indicating a strong product focus and potential for repeat purchases in a specialized market.",https://geotech.se,2026-03-25 15:36:09.189052+00:00
556085-2922,Annell Ljus och Form Aktiebolag,430,true,0.7,70.4551,product_company,brand_owner,"Annell Ljus och Form Aktiebolag specializes in lighting solutions with a focus on sustainability and design, indicating a strong product offering and potential for repeat purchases.",https://www.annell.se,2026-03-25 15:36:09.189052+00:00
556804-3698,BrightCom Solutions AB,442,true,0.7,70.3333,product_company,software,"BrightCom Solutions AB focuses on business systems and integrations, indicating a strong product offering with high differentiation and scalability potential.",https://www.brightcom.se,2026-03-25 15:36:09.189052+00:00
556209-9001,INFICON AB,449,true,0.7,70.2245,product_company,manufacturer,"INFICON AB is a leading provider of innovative instruments for industrial vacuum processes, indicating a strong product focus with high differentiation and scalability.",https://www.inficon.com,2026-03-25 15:36:09.189052+00:00
556353-3230,Vaggeryds Chark AB,476,true,0.7,69.9492,product_company,manufacturer,"Vaggeryds Chark AB manufactures a variety of meat products, indicating a strong product focus with potential for repeat purchases due to consumable nature.",https://www.vaggerydschark.se,2026-03-25 15:36:09.189052+00:00
556436-1441,AGES Kulltorp AB,484,true,0.7,69.8926,product_company,manufacturer,"AGES Kulltorp AB is an industrial group specializing in precision manufacturing processes, indicating a strong product-led focus with high-quality standards.",https://www.ages.se,2026-03-25 15:36:09.189052+00:00
556076-4564,Ackurat Industriplast Aktiebolag,486,true,0.7,69.8853,product_company,manufacturer,"Ackurat Industriplast AB manufactures unique plastic components, indicating a strong product-led focus with potential for repeat business.",https://www.ackurat.se,2026-03-25 15:36:09.189052+00:00
556455-1900,Texstar AB,238,true,0.65,69.6458,product_company,manufacturer,"Texstar specializes in work and profile clothing, indicating a product-focused business with potential for repeat purchases.",https://www.texstar.se,2026-03-25 15:36:09.189052+00:00
556702-9755,EASY ONLINE STORES AB,287,true,0.65,69.1016,product_company,unknown,"EASY ONLINE STORES AB offers a wide range of printed products and promotional items, indicating a product-led model with potential for repeat purchases and scalability.",https://www.easytryck.se,2026-03-25 15:36:09.189052+00:00
556286-9858,U-nite Fasteners Technology AB,379,true,0.65,68.0596,product_company,manufacturer,"U-nite Fasteners Technology AB offers a comprehensive range of fastening products, indicating a strong focus on product differentiation and repeat purchases in the construction sector.",https://www.unitefasteners.com/,2026-03-25 15:36:09.189052+00:00
556926-2438,TreForm Packaging AB,392,true,0.65,67.831,product_company,manufacturer,"TreForm Packaging AB specializes in sustainable packaging solutions, indicating a strong product focus with high differentiation and repeat purchase potential in the food and other sectors.",https://treform.se,2026-03-25 15:36:09.189052+00:00
556709-5152,Elopak AB,459,true,0.65,67.1506,product_company,manufacturer,"Elopak AB is a global provider of packaging solutions for liquid food, indicating a strong product focus with high differentiation and scalability.",https://www.elopak.com,2026-03-25 15:36:09.189052+00:00
556499-9620,Tollco Aktiebolag,470,true,0.65,66.9869,product_company,manufacturer,"Tollco Aktiebolag offers innovative products to prevent water damage, indicating a focus on a specific niche with potential for repeat purchases.",https://www.tollco.se,2026-03-25 15:36:09.189052+00:00
556740-5443,Ledson Lights AB,1,true,0.6,76.0,product_company,manufacturer,"Ledson Lights AB offers a wide range of LED products, indicating a product-led business model with potential for repeat purchases. The focus on LED lighting suggests a differentiated niche in the market.",https://www.diodhuset.se,2026-03-25 15:36:09.189052+00:00
559076-4949,Scandia Pumps AB,2,true,0.6,75.3239,product_company,manufacturer,"Scandia Pumps AB provides customized technical solutions for water and sewage, indicating a strong product offering with potential for repeat business. Their focus on various applications suggests a differentiated market position.",https://www.scandiapumps.com,2026-03-25 15:36:09.189052+00:00
556184-6238,Aktiebolaget Kulleborn & Stenström,14,true,0.6,72.9221,product_company,manufacturer,"Kulleborn & Stenström specializes in sustainable packaging solutions, indicating a product-led business with potential for repeat purchases. Their focus on eco-friendly materials suggests a strong differentiation in the packaging market.",https://kulleborn.se,2026-03-25 15:36:09.189052+00:00
556814-8752,Tillmobil i Norden AB,15,true,0.6,72.8132,product_company,distributor,"Tillmobil i Norden AB operates as an independent broker in telecommunications, providing reliable services and products. Their focus on subscriptions and broadband indicates a product-led model with potential for repeat business.",https://www.tillmobil.se,2026-03-25 15:36:09.189052+00:00
556900-2149,Maskin System Europe AB,57,true,0.6,70.2379,product_company,software,"Maskin System Europe AB develops advanced sustainable defense technology solutions, indicating a product-led approach with a focus on innovation. Their emphasis on training and integration solutions suggests a specialized niche, although the repeat purchase potential is unclear.",https://www.mseab.se/,2026-03-25 15:36:09.189052+00:00
556282-0307,Nordic Cleanware AB,64,true,0.6,70.0483,product_company,manufacturer,"Nordic Cleanware AB provides a variety of vacuum cleaners for different applications, indicating a product-led approach with potential for repeat purchases. Their long-standing experience in the market suggests a reliable brand.",https://www.cleanware.se/,2026-03-25 15:36:09.189052+00:00
556284-4687,System Hall AB,72,true,0.6,69.8967,product_company,manufacturer,"System Hall AB focuses on automating production in the wood industry, indicating a product-led approach with tailored solutions. Their emphasis on partnerships and innovation suggests a reliable business model with potential for repeat purchases.",https://www.systemhall.com/,2026-03-25 15:36:09.189052+00:00
556145-5469,VS Truck AB,103,true,0.6,69.2535,product_company,unknown,"VS Truck AB offers a range of trucks and services, focusing on customer needs and truck economy. Their emphasis on service and maintenance indicates a product-led approach with potential for repeat purchases.",https://www.vstruck.se,2026-03-25 15:36:09.189052+00:00
559193-0671,SICE Nordics AB,128,true,0.6,68.7093,product_company,software,"SICE Nordics AB develops integrated solutions for public infrastructure, indicating a strong product-led approach with potential for repeat purchases and scalability.",https://www.sice.com,2026-03-25 15:36:09.189052+00:00
556437-9740,Industriverken i Ronneby AB,133,true,0.6,68.5408,product_company,manufacturer,"Industriverken is a manufacturer in the metalworking industry, indicating a product-led approach with potential for repeat purchases and scalability.",https://industriverken.com,2026-03-25 15:36:09.189052+00:00
556264-2362,Segers Fabriker Aktiebolag,137,true,0.6,68.4609,product_company,manufacturer,"Segers Fabriker manufactures workwear for various sectors, indicating a product-led approach with potential for repeat purchases and scalability.",https://www.segers.com,2026-03-25 15:36:09.189052+00:00
556666-8025,Brunneby Musteri AB,146,true,0.6,68.2301,product_company,brand_owner,"Brunneby Musteri produces a variety of fruit-based products, indicating a strong brand and potential for repeat purchases.",https://www.brunnebymusteri.se,2026-03-25 15:36:09.189052+00:00
556687-0639,Eboss AB,167,true,0.6,67.9243,product_company,manufacturer,"Eboss AB manufactures punched and cut products for various industries, emphasizing collaboration and tailored solutions. Their focus on manufacturing and product delivery aligns well with Nivo's investment criteria.",https://www.eboss.se,2026-03-25 15:36:09.189052+00:00
556218-6253,Itaab Trading Aktiebolag,169,true,0.6,67.8026,product_company,manufacturer,"Itaab Trading Aktiebolag designs and manufactures metal ceilings and facade solutions, focusing on innovation and sustainability. Their product-led approach and custom solutions align with Nivo's investment focus.",https://itaab.com,2026-03-25 15:36:09.189052+00:00
556402-9766,Aktiebolaget Mercatus Engineering,172,true,0.6,67.7352,product_company,manufacturer,"Aktiebolaget Mercatus Engineering designs and installs systems for purifying contaminated process fluids, emphasizing tailored solutions and long-term partnerships. Their focus on product development and repeat business aligns with Nivo's investment criteria.",https://www.mercatus.se,2026-03-25 15:36:09.189052+00:00
556234-6089,Tribotec Aktiebolag,209,true,0.6,67.1349,product_company,manufacturer,"Tribotec Aktiebolag provides sustainable solutions in rust protection and lubricants, indicating a product-focused business with potential for repeat purchases.",https://www.tribotec.se,2026-03-25 15:36:09.189052+00:00
556583-8595,Schütz Allemballage AB,212,true,0.6,67.0688,product_company,manufacturer,"Schütz Allemballage AB is a leading provider of reconditioning and sales of IBC containers, indicating a strong product focus with repeat purchase potential.",https://www.allemballage.se,2026-03-25 15:36:09.189052+00:00
556041-7254,Tjeders Industri Aktiebolag,306,true,0.6,65.8487,product_company,manufacturer,"Tjeders provides communication solutions for healthcare and industry, indicating a product-led business model. Their focus on quality and innovation supports a differentiated offering.",https://tjeders.se,2026-03-25 15:36:09.189052+00:00
556222-7313,Claessons Cykel & Motor Aktiebolag,308,true,0.6,65.8307,product_company,distributor,"Claessons Motor is a major retailer of motorcycles and accessories, indicating a product-led business model. They offer a wide range of vehicles and services, suggesting repeat purchase potential. The focus on customer experience adds to their differentiation.",https://www.claessonsmotor.se,2026-03-25 15:36:09.189052+00:00
556616-8190,Osby Mekan AB,313,true,0.6,65.8054,product_company,manufacturer,"Osby Mekan specializes in advanced contract manufacturing, indicating a strong product focus and high precision. Their modern machinery and skilled team suggest a scalable business model with potential for repeat orders.",https://npoindustrier.se,2026-03-25 15:36:09.189052+00:00
556326-7185,Westmatic i Arvika Aktiebolag,315,true,0.6,65.7461,product_company,manufacturer,"Westmatic is a leading manufacturer of washing systems for heavy vehicles, indicating a strong product focus and niche market. Their emphasis on innovation and custom solutions suggests a differentiated offering with repeat purchase potential.",https://www.westmatic.se,2026-03-25 15:36:09.189052+00:00
556573-8027,Vygon (Sweden) AB,320,true,0.6,65.6724,product_company,manufacturer,"Vygon is a global manufacturer of medical devices, indicating a strong product focus in a specialized market. Their emphasis on innovation and quality suggests a differentiated offering with high repeat purchase potential.",https://www.vygon.se,2026-03-25 15:36:09.189052+00:00
556557-6401,Böttcher Nordic AB,327,true,0.6,65.6346,product_company,manufacturer,"Böttcher Nordic AB is a leading manufacturer of elastomer-coated rollers and sleeves, indicating a strong product focus and potential for repeat purchases in technical industries.",https://www.boettcher.de,2026-03-25 15:36:09.189052+00:00
556545-6265,Eurostair Produktion Aktiebolag,339,true,0.6,65.5499,product_company,manufacturer,"Eurostair is a manufacturer of high-quality staircases, indicating a strong product focus and niche market. Their offerings suggest potential for repeat purchases in construction and renovation projects.",https://www.eurostair.com,2026-03-25 15:36:09.189052+00:00
556643-7587,Klarvik AB,340,true,0.6,65.5336,product_company,manufacturer,"Klarvik specializes in aluminum components and offers tailored solutions, indicating a strong product focus and potential for repeat business in industrial applications.",https://klarvik.se,2026-03-25 15:36:09.189052+00:00
556346-6738,Bastec AB,344,true,0.6,65.5026,product_company,software,"Bastec develops software solutions for building management, indicating a strong product focus with high differentiation and potential for repeat purchases in the B2B sector.",https://www.bastec.se,2026-03-25 15:36:09.189052+00:00
556840-5582,PMC i Strängnäs AB,347,true,0.6,65.4511,product_company,distributor,"PMC offers a range of network equipment and peripherals, indicating a product focus with potential for repeat purchases in the B2B sector.",https://b2b.koncern.eu,2026-03-25 15:36:09.189052+00:00
556956-4858,Boliden Electro AB,355,true,0.6,65.3589,product_company,manufacturer,"Boliden Electro focuses on intelligent solutions for the mining and energy sectors, indicating a product-led approach with potential for repeat purchases. The evidence supports a strong fit for Nivo.",https://www.bolidenelectro.se,2026-03-25 15:36:09.189052+00:00
556528-7264,Aktiebolaget Smålandsinredningar,365,true,0.6,65.2834,product_company,manufacturer,"Smålandsinredningar offers tailored solutions for retail interiors and has its own production, indicating a product-led approach with potential for repeat purchases. The evidence supports a strong fit for Nivo.",https://www.smalandsinredningar.se,2026-03-25 15:36:09.189052+00:00
556170-3926,Bimex Verktyg AB,366,true,0.6,65.2595,product_company,manufacturer,"Bimex Verktyg manufactures and sells tool components, indicating a product-led approach with potential for repeat purchases. The evidence supports a strong fit for Nivo.",https://www.bimex.se,2026-03-25 15:36:09.189052+00:00
556545-2298,Torverk Industrial Doors Aktiebolag,367,true,0.6,65.2516,product_company,manufacturer,"Torverk specializes in manufacturing custom industrial doors, indicating a product-led approach with a focus on durability and repeat purchases. The evidence supports a strong fit for Nivo.",https://torverk.se,2026-03-25 15:36:09.189052+00:00
556071-4288,Aktiebolaget Varmförzinkning,378,true,0.6,65.0626,product_company,manufacturer,"Aktiebolaget Varmförzinkning manufactures and sells galvanized products, indicating a strong product offering and potential for repeat business. Their long-standing family business model supports stability and reliability.",https://www.varmforzinkning.se,2026-03-25 15:36:09.189052+00:00
556106-4543,Åhmans i Åhus Aktiebolag,387,true,0.6,64.8724,product_company,manufacturer,"Åhmans i Åhus Aktiebolag specializes in manufacturing elevator interiors and components, indicating a strong product focus with potential for repeat business through partnerships with installers.",https://www.ahmans.se,2026-03-25 15:36:09.189052+00:00
